society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
vedic greentech city bungalow,0.87,rajarhat,4526.0,1922.0,Super Built up area 2121(197.05 sq.m.),4.0,3,2,0,,New Property,East,2121.0,,,0,1,1,0,0,0,133.0
royal marina apartment,0.25,makhla,2928.0,854.0,Super Built up area 854(79.34 sq.m.),2.0,2,1,2,South-East,Relatively New,West,854.0,,,0,0,0,0,0,2,13.0
golf tower,0.85,lake gardens,7502.0,1133.0,Super Built up area 1133(105.26 sq.m.),2.0,2,1,2,,Old Property,South,1133.0,,,0,0,0,0,0,0,0.0
eden serenity,0.55,em bypass,5058.0,1087.0,Super Built up area 1285(119.38 sq.m.)Carpet area: 1028 sq.ft. (95.5 sq.m.),3.0,3,1,4,,Old Property,South,1285.0,,1028.0,0,0,0,0,0,2,71.0
bangur avenue,0.38,lake town,5490.0,692.0,Super Built up area 765(71.07 sq.m.),2.0,2,1,2,South-West,Relatively New,North,765.0,,,0,0,0,0,0,1,59.0
magnolia nakshatra,0.2,barasat,2773.0,721.0,Super Built up area 721(66.98 sq.m.),2.0,1,1,4,,Relatively New,North,721.0,,,0,0,0,0,0,0,84.0
sai baba apartment,0.55,diamond park,5500.0,1000.0,Super Built up area 1429(132.76 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,0,1,South-East,Moderately Old,South,1429.0,,1000.0,0,0,0,0,0,2,33.0
sugam serenity,0.5,sonarpur,3872.0,1291.0,Super Built up area 1291(119.94 sq.m.),3.0,2,1,1,South-East,Relatively New,South,1291.0,,,0,0,0,0,0,0,66.0
sanhita township,0.3,new town,3275.0,916.0,Super Built up area 916(85.1 sq.m.),3.0,2,1,6,South,New Property,East,916.0,,,0,0,0,0,1,0,104.0
greenfield city,0.55,behala,5128.0,1073.0,Super Built up area 1092(101.45 sq.m.),3.0,2,1,7,East,Relatively New,South,1092.0,,,0,0,0,0,0,0,49.0
green valley,0.9,kaikhali,6206.0,1450.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3.0,2,2,4,North,Old Property,East,1450.0,1250.0,1150.0,0,0,0,0,1,1,38.0
