place,bedRoom,bathroom,balcony,facing,agePossession,Direction,built_up_area,servant room,furnishing_type,luxury_category,floor_category,price
66.0,2.0,2.0,1.0,7.0,3.0,1.0,664.0,0.0,0.0,1.0,2.0,0.35
66.0,2.0,2.0,1.0,7.0,3.0,1.0,720.0,0.0,0.0,1.0,1.0,0.37
66.0,2.0,2.0,1.0,6.0,3.0,1.0,775.0,0.0,0.0,1.0,1.0,0.41
66.0,2.0,2.0,1.0,0.0,3.0,1.0,672.0,0.0,0.0,1.0,1.0,0.35
86.0,2.0,2.0,1.0,2.0,3.0,2.0,586.0,0.0,0.0,1.0,1.0,0.25
85.0,3.0,2.0,1.0,2.0,3.0,2.0,871.0,0.0,0.0,0.0,2.0,0.42
85.0,3.0,2.0,1.0,5.0,3.0,2.0,1132.0,0.0,0.0,2.0,0.0,0.71
85.0,3.0,2.0,1.0,5.0,3.0,2.0,1097.0,0.0,0.0,0.0,0.0,0.69
34.0,3.0,2.0,2.0,5.0,3.0,2.0,1424.0,0.0,0.0,2.0,2.0,1.05
34.0,3.0,2.0,1.0,5.0,3.0,2.0,1280.0,0.0,0.0,0.0,0.0,0.9
34.0,3.0,2.0,2.0,2.0,3.0,2.0,1424.0,0.0,0.0,2.0,2.0,1.0
32.0,2.0,2.0,1.0,5.0,3.0,1.0,599.0,0.0,0.0,2.0,1.0,0.24
121.0,2.0,2.0,1.0,4.0,3.0,1.0,744.0,0.0,0.0,1.0,1.0,0.26
121.0,3.0,2.0,1.0,7.0,3.0,1.0,898.0,0.0,0.0,1.0,1.0,0.32
121.0,3.0,2.0,1.0,2.0,3.0,1.0,900.0,0.0,0.0,1.0,2.0,0.32
64.0,2.0,2.0,1.0,0.0,3.0,1.0,566.0,0.0,0.0,1.0,2.0,0.17
64.0,2.0,2.0,1.0,7.0,3.0,1.0,565.0,0.0,0.0,1.0,1.0,0.17
64.0,1.0,1.0,1.0,4.0,3.0,1.0,525.0,0.0,0.0,1.0,1.0,0.15
64.0,2.0,2.0,1.0,5.0,3.0,1.0,530.0,0.0,0.0,1.0,1.0,0.15
32.0,2.0,2.0,1.0,4.0,3.0,1.0,684.0,0.0,0.0,1.0,1.0,0.28
32.0,2.0,2.0,1.0,5.0,3.0,1.0,556.0,0.0,0.0,2.0,1.0,0.23
32.0,2.0,2.0,1.0,5.0,3.0,1.0,615.0,0.0,0.0,2.0,1.0,0.27
32.0,2.0,2.0,1.0,5.0,3.0,1.0,706.0,0.0,0.0,1.0,2.0,0.27
32.0,2.0,1.0,0.0,6.0,3.0,1.0,513.0,0.0,0.0,1.0,2.0,0.2
32.0,2.0,2.0,1.0,3.0,3.0,1.0,896.0,0.0,0.0,1.0,2.0,0.35
32.0,2.0,2.0,1.0,3.0,3.0,1.0,896.0,0.0,0.0,2.0,1.0,0.35
32.0,2.0,2.0,1.0,1.0,3.0,1.0,706.0,0.0,0.0,2.0,2.0,0.27
13.0,3.0,2.0,1.0,6.0,3.0,1.0,1399.0,0.0,0.0,2.0,2.0,0.47
104.0,2.0,2.0,1.0,5.0,3.0,0.0,924.0,0.0,0.0,0.0,2.0,0.68
13.0,2.0,2.0,2.0,5.0,2.0,1.0,770.0,0.0,0.0,1.0,2.0,0.25
16.0,2.0,2.0,1.0,4.0,3.0,2.0,573.0,0.0,0.0,1.0,1.0,0.28
16.0,2.0,2.0,1.0,5.0,3.0,2.0,837.0,0.0,0.0,1.0,1.0,0.43
16.0,2.0,2.0,1.0,4.0,3.0,2.0,761.0,0.0,0.0,1.0,2.0,0.34
16.0,2.0,2.0,1.0,0.0,3.0,2.0,607.0,0.0,0.0,1.0,1.0,0.27
16.0,2.0,2.0,1.0,4.0,3.0,2.0,753.0,0.0,0.0,1.0,1.0,0.34
16.0,3.0,2.0,1.0,5.0,3.0,2.0,834.0,0.0,0.0,1.0,1.0,0.42
16.0,2.0,2.0,1.0,4.0,0.0,2.0,633.0,0.0,0.0,1.0,1.0,0.26
16.0,2.0,2.0,1.0,4.0,3.0,2.0,624.0,0.0,0.0,1.0,1.0,0.32
16.0,2.0,2.0,1.0,4.0,3.0,2.0,706.0,0.0,0.0,1.0,2.0,0.36
16.0,2.0,2.0,1.0,4.0,3.0,2.0,659.0,0.0,0.0,1.0,2.0,0.33
16.0,3.0,3.0,1.0,1.0,3.0,2.0,1112.0,0.0,0.0,1.0,1.0,0.57
34.0,2.0,2.0,1.0,4.0,3.0,2.0,727.0,0.0,0.0,1.0,1.0,0.45
101.0,3.0,2.0,1.0,3.0,0.0,1.0,1240.0,0.0,0.0,1.0,1.0,0.66
34.0,3.0,2.0,1.0,2.0,0.0,2.0,1583.0,0.0,0.0,1.0,2.0,1.2
34.0,3.0,2.0,1.0,6.0,0.0,1.0,1078.0,0.0,0.0,1.0,1.0,0.85
2.0,3.0,2.0,1.0,4.0,0.0,2.0,1309.0,0.0,0.0,1.0,1.0,0.75
104.0,2.0,2.0,1.0,3.0,3.0,0.0,581.0,0.0,0.0,1.0,2.0,0.25
