society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
avani victoria greens,0.5,garia,5428.0,Built Up area: 921 (85.56 sq.m.),2.0,2,0,0,,Old Property,South,,921.0,,0,0,0,0,0,0,86.0
cc2 realtech nirman,0.65,rajarhat,5098.0,Carpet area: 1275 (118.45 sq.m.),3.0,2,2,4,South-East,Moderately Old,East,,,1275.0,0,0,0,0,0,1,130.0
primarc southwinds,0.72,em bypass,6521.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,1,,New Property,South,1150.0,,,0,0,0,0,0,0,0.0
mj moti kunj,0.7,tollygunge,6862.0,Super Built up area 1020(94.76 sq.m.),3.0,2,1,2,South-East,Old Property,South,1020.0,,,0,0,0,0,0,2,97.0
panihati pride,0.28,panihati,2750.0,Super Built up area 1023(95.04 sq.m.),3.0,2,1,3,South-West,Under Construction,North,1023.0,,,0,0,0,0,0,0,19.0
anamika palms,0.36,sonarpur,3500.0,Built Up area: 1035 (96.15 sq.m.),3.0,2,2,4,,Under Construction,South,,1035.0,,0,0,0,0,0,0,60.0
realtech curiocity,0.87,new town,12253.0,Built Up area: 1020 (94.76 sq.m.)Carpet area: 710 sq.ft. (65.96 sq.m.),2.0,2,1,2,,Relatively New,East,,1020.0,710.0,0,0,0,0,0,1,90.0
bellagio lvl nxt,1.02,rajarhat,4689.0,Super Built up area 2239(208.01 sq.m.),4.0,4,3,3,South-East,New Property,East,2239.0,,,0,0,0,0,0,0,72.0
titas apartment,0.75,lake town,4166.0,Built Up area: 1800 (167.23 sq.m.)Carpet area: 1480 sq.ft. (137.5 sq.m.),3.0,2,2,3,North-East,New Property,North,,1800.0,1480.0,0,0,0,0,0,0,0.0
signum windmere,0.41,madhyamgram,4363.0,Super Built up area 951(88.35 sq.m.),2.0,2,1,11,South-East,New Property,North,951.0,,,0,0,0,0,0,0,148.0
joyville western heights,0.87,howrah,8885.0,Carpet area: 900 (83.61 sq.m.),3.0,2,3+,4,,New Property,West,,,900.0,0,0,0,0,0,0,41.0
onex privy,3.25,kalighat,15011.0,Super Built up area 2165(201.14 sq.m.),4.0,3,1,1,,Relatively New,South,2165.0,,,0,0,0,0,0,0,52.0
swastika co-operative housing society,0.7,chetla,5454.0,Built Up area: 1100 (102.19 sq.m.),2.0,2,2,2,South-East,Relatively New,South,,1100.0,,0,0,0,0,0,0,0.0
srijoyee,0.35,mukundapur,4052.0,Super Built up area 925(85.94 sq.m.),2.0,2,1,1,South,Moderately Old,South,925.0,,,0,0,0,0,0,0,0.0
hiland greens,0.35,maheshtala,5239.0,Super Built up area 1060(98.48 sq.m.)Built Up area: 820 sq.ft. (76.18 sq.m.)Carpet area: 668 sq.ft. (62.06 sq.m.),3.0,2,1,13,South-East,Relatively New,South,1060.0,820.0,668.0,0,0,0,0,0,0,85.0
maya enclave,0.39,konnagar,4333.0,Carpet area: 900 (83.61 sq.m.),3.0,2,2,2,South,New Property,West,,,900.0,0,0,0,0,0,0,16.0
aster gardens,0.5,rajarhat,4835.0,Super Built up area 1034(96.06 sq.m.),3.0,2,1,1,South-West,Relatively New,East,1034.0,,,0,0,0,0,0,2,141.0
madhavi manjuri,0.37,behala,4302.0,Super Built up area 1085(100.8 sq.m.)Carpet area: 860 sq.ft. (79.9 sq.m.),3.0,2,1,3,,New Property,South,1085.0,,860.0,0,0,0,0,0,0,5.0
